account_id,plan,mrr_usd,signup,onboarding_completed,price_complaint_ticket,churned_by_2026_03_31,seats
NB-4107,Growth,1150,2025-01-01,no,yes,yes,5
NB-4114,Growth,1150,2025-02-02,no,no,yes,35
NB-4121,Starter,290,2025-03-03,no,no,yes,3
NB-4128,Scale,4200,2025-04-04,no,yes,no,3
NB-4135,Growth,1150,2025-05-05,yes,no,no,20
NB-4142,Starter,290,2025-06-06,yes,no,no,20
NB-4149,Starter,290,2025-07-07,yes,no,no,3
NB-4156,Starter,290,2025-08-08,yes,yes,no,12
NB-4163,Growth,1150,2025-09-09,yes,no,no,3
NB-4170,Starter,290,2025-10-10,yes,no,yes,3
NB-4177,Scale,4200,2025-11-11,no,yes,yes,12
NB-4184,Starter,290,2025-01-12,no,no,yes,20
NB-4191,Starter,290,2025-02-13,no,no,yes,5
NB-4198,Scale,4200,2025-03-14,no,no,yes,35
NB-4205,Scale,4200,2025-04-15,yes,yes,no,3
NB-4212,Scale,4200,2025-05-16,yes,no,no,20
NB-4219,Growth,1150,2025-06-17,yes,no,no,3
NB-4226,Starter,290,2025-07-18,yes,yes,no,3
NB-4233,Scale,4200,2025-08-19,yes,no,no,5
NB-4240,Growth,1150,2025-09-20,yes,no,yes,12
NB-4247,Starter,290,2025-10-21,no,no,yes,20
NB-4254,Starter,290,2025-11-22,no,yes,yes,20
NB-4261,Growth,1150,2025-01-23,no,no,yes,20
NB-4268,Scale,4200,2025-02-24,no,no,yes,5
NB-4275,Starter,290,2025-03-25,yes,yes,no,20
NB-4282,Scale,4200,2025-04-26,yes,no,no,35
NB-4289,Starter,290,2025-05-27,yes,no,no,8
NB-4296,Starter,290,2025-06-01,yes,no,no,20
NB-4303,Scale,4200,2025-07-02,yes,yes,no,3
NB-4310,Scale,4200,2025-08-03,yes,no,yes,3
NB-4317,Scale,4200,2025-09-04,no,no,yes,5
NB-4324,Growth,1150,2025-10-05,no,yes,yes,35
NB-4331,Scale,4200,2025-11-06,no,no,yes,12
NB-4338,Growth,1150,2025-01-07,no,no,yes,12
NB-4345,Scale,4200,2025-02-08,yes,no,no,12
NB-4352,Growth,1150,2025-03-09,yes,yes,no,8
NB-4359,Starter,290,2025-04-10,yes,no,no,5
NB-4366,Scale,4200,2025-05-11,yes,no,no,5
NB-4373,Starter,290,2025-06-12,yes,yes,no,20
NB-4380,Growth,1150,2025-07-13,yes,no,yes,20
NB-4387,Growth,1150,2025-08-14,no,no,yes,8
NB-4394,Scale,4200,2025-09-15,no,no,yes,12
NB-4401,Growth,1150,2025-10-16,no,yes,yes,20
NB-4408,Starter,290,2025-11-17,no,no,yes,3
NB-4415,Scale,4200,2025-01-18,yes,no,no,12
NB-4422,Starter,290,2025-02-19,yes,yes,no,8
NB-4429,Starter,290,2025-03-20,yes,no,no,12
NB-4436,Growth,1150,2025-04-21,yes,no,no,3
